lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,c1_mu.1,c1_mu.2,c2_mu.1,c2_mu.2,z_mu.1,z_mu.2,c1_r.1,c1_r.2,c2_r.1,c2_r.2,z_r.1,z_r.2,A_mu.1.1.1,A_mu.2.1.1,A_mu.1.2.1,A_mu.2.2.1,A_mu.1.1.2,A_mu.2.1.2,A_mu.1.2.2,A_mu.2.2.2,A_r.1.1.1,A_r.2.1.1,A_r.1.2.1,A_r.2.2.1,A_r.1.1.2,A_r.2.1.2,A_r.1.2.2,A_r.2.2.2,MU.1.1.1,MU.2.1.1,MU.1.2.1,MU.2.2.1,MU.1.1.2,MU.2.1.2,MU.1.2.2,MU.2.2.2,R.1.1.1,R.2.1.1,R.1.2.1,R.2.2.1,R.1.1.2,R.2.1.2,R.1.2.2,R.2.2.2,mu_t.1,mu_t.2,mu_s.1,mu_s.2,r_t.1,r_t.2,r_s.1,r_s.2
# Adaptation terminated
# Step size = 0.187433
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
2805.06,0.977622,0.187433,4,15,0,-2800.95,5.11812,10.5078,4.50826,1.42116,1.84723,0.627078,9.8833,2.01599,4.80554,6.43118,-0.999154,-0.779347,2.26233,3.24157,1.84723,0.627078,0,0,2.12327,1.19213,3.14377,1.41986,-0.999154,-0.779347,0,0,2.19216,2.53598,51.1812,105.078,61.77,106.114,61.77,106.114,79.0578,108.581,9.8833,2.01599,8.38282,1.56261,8.38282,1.56261,7.59069,1.85431,51.1812,105.078,79.0578,108.581,9.8833,2.01599,7.59069,1.85431
2803.18,0.988492,0.187433,4,15,0,-2798.51,5.83229,7.66145,4.78888,16.0841,0.122241,0.248661,1.74019,4.15822,6.812,1.36479,-1.56318,-0.811117,2.41501,2.76793,0.122241,0.248661,0,0,2.18835,4.0105,1.31916,2.03917,-1.56318,-0.811117,0,0,2.60998,1.16824,58.3229,76.6145,56.2636,74.8595,56.2636,74.8595,59.0658,89.2287,1.74019,4.15822,0.998798,3.42179,0.998798,3.42179,1.25447,2.95226,58.3229,76.6145,59.0658,89.2287,1.74019,4.15822,1.25447,2.95226
2802.97,0.955441,0.187433,4,15,0,-2796.07,8.40789,11.6883,1.40148,1.9429,0.0520483,-0.778205,5.49552,3.38594,8.74923,3.15231,-0.230245,-1.63631,2.89964,3.41881,0.0520483,-0.778205,0,0,1.18384,1.39388,2.34425,1.84009,-0.230245,-1.63631,0,0,2.95791,1.77547,84.0789,116.883,80.2415,102.472,80.2415,102.472,77.9807,91.7799,5.49552,3.38594,5.04283,2.26004,5.04283,2.26004,5.50234,1.82375,84.0789,116.883,77.9807,91.7799,5.49552,3.38594,5.50234,1.82375
2803.35,0.964466,0.187433,4,31,0,-2796.68,5.33395,6.08533,3.44974,8.09141,3.01414,1.66175,8.46442,7.99769,0.984082,4.24383,0.627317,1.5882,2.30953,2.46685,3.01414,1.66175,0,0,1.85735,2.84454,2.90937,2.82802,0.627317,1.5882,0,0,0.992009,2.06006,53.3395,60.8533,72.6157,70.6936,72.6157,70.6936,102.308,90.2165,8.46442,7.99769,8.6072,9.0076,8.6072,9.0076,8.8508,10.5694,53.3395,60.8533,102.308,90.2165,8.46442,7.99769,8.8508,10.5694
2805.41,0.948841,0.187433,4,15,0,-2798.72,6.24891,7.14251,5.62171,2.71003,1.30863,-0.845653,2.51501,1.6184,5.97185,2.97684,0.536311,-0.290566,2.49978,2.67255,1.30863,-0.845653,0,0,2.37101,1.64622,1.58588,1.27216,0.536311,-0.290566,0,0,2.44374,1.72535,62.4891,71.4251,69.6271,60.6129,69.6271,60.6129,83.2021,54.1475,2.51501,1.6184,2.65491,1.41846,2.65491,1.41846,3.39978,1.5409,62.4891,71.4251,83.2021,54.1475,2.51501,1.6184,3.39978,1.5409
2802.51,0.874663,0.187433,4,15,0,-2799.27,5.31592,3.63523,2.15991,5.37301,0.59924,3.3533,2.85363,3.45272,2.01708,4.12575,-1.17322,-0.258611,2.30563,1.90663,0.59924,3.3533,0,0,1.46966,2.31798,1.68927,1.85815,-1.17322,-0.258611,0,0,1.42024,2.0312,53.1592,36.3523,54.8003,54.7048,54.8003,54.7048,58.652,87.6956,2.85363,3.45272,2.08046,3.12357,2.08046,3.12357,1.71849,3.23839,53.1592,36.3523,58.652,87.6956,2.85363,3.45272,1.71849,3.23839
2802.06,0.952199,0.187433,4,15,0,-2797.29,6.87089,10.337,5.09035,1.90253,0.503047,3.46969,4.22128,6.88877,3.40459,5.66766,-1.37855,-1.0497,2.62124,3.21511,0.503047,3.46969,0,0,2.25618,1.37932,2.05458,2.62465,-1.37855,-1.0497,0,0,1.84515,2.38068,68.7089,103.37,69.3528,133.342,69.3528,133.342,75.0931,173.907,4.22128,6.88877,3.109,5.66402,3.109,5.66402,2.63025,5.22379,68.7089,103.37,75.0931,173.907,4.22128,6.88877,2.63025,5.22379
2805.31,0.985066,0.187433,4,15,0,-2794.66,4.61761,5.30211,15.1723,5.9524,0.5602,1.37603,3.52874,2.92466,4.07994,3.41763,-0.0554857,0.533318,2.14886,2.30263,0.5602,1.37603,0,0,3.89516,2.43975,1.87849,1.71016,-0.0554857,0.533318,0,0,2.01989,1.84868,46.1761,53.0211,47.6132,60.3199,47.6132,60.3199,64.2673,74.5757,3.52874,2.92466,3.3147,3.06299,3.3147,3.06299,3.52163,3.54963,46.1761,53.0211,64.2673,74.5757,3.52874,2.92466,3.52163,3.54963
2805.95,0.796696,0.187433,4,15,0,-2797.52,9.74198,6.56317,3.74588,8.26164,-0.140038,0.677305,3.84607,2.44175,8.70156,2.55847,0.932575,0.320321,3.12121,2.56187,-0.140038,0.677305,0,0,1.93543,2.87431,1.96114,1.56261,0.932575,0.320321,0,0,2.94984,1.59952,97.4198,65.6317,91.0384,67.7507,91.0384,67.7507,88.8208,78.1999,3.84607,2.44175,4.22706,2.47473,4.22706,2.47473,5.51594,2.764,97.4198,65.6317,88.8208,78.1999,3.84607,2.44175,5.51594,2.764
2803.99,0.871127,0.187433,4,15,0,-2799.31,5.45272,8.81528,4.28919,1.12502,1.21406,1.40412,5.33517,2.40134,0.277302,5.36942,-0.0941862,-0.0246809,2.33511,2.96905,1.21406,1.40412,0,0,2.07104,1.06067,2.3098,1.54963,-0.0941862,-0.0246809,0,0,0.526595,2.3172,54.5272,88.1528,60.694,96.8123,60.694,96.8123,71.8474,107.447,5.33517,2.40134,4.99259,2.26602,4.99259,2.26602,4.69974,2.67526,54.5272,88.1528,71.8474,107.447,5.33517,2.40134,4.69974,2.67526
2804.83,0.882721,0.187433,4,15,0,-2799.72,3.29398,10.6161,8.30688,6.4339,1.97336,0.825542,4.2435,7.55682,1.18336,5.61271,0.614205,0.460779,1.81493,3.25824,1.97336,0.825542,0,0,2.88217,2.53651,2.05998,2.74897,0.614205,0.460779,0,0,1.08782,2.36912,32.9398,106.161,42.5751,109.22,42.5751,109.22,63.3359,118.8,4.2435,7.55682,4.42584,7.56959,4.42584,7.56959,4.73436,8.14364,32.9398,106.161,63.3359,118.8,4.2435,7.55682,4.73436,8.14364
2801.79,0.765726,0.187433,4,15,0,-2795.5,2.9834,7.20182,2.12696,1.98838,0.261692,1.51469,2.69686,2.91214,5.53053,1.86202,-2.00755,0.711957,1.72725,2.68362,0.261692,1.51469,0,0,1.45841,1.4101,1.64221,1.7065,-2.00755,0.711957,0,0,2.35171,1.36456,29.834,72.0182,29.7324,81.1767,29.7324,81.1767,31.7581,93.4882,2.69686,2.91214,1.51592,3.1469,1.51592,3.1469,1.40516,3.58679,29.834,72.0182,31.7581,93.4882,2.69686,2.91214,1.40516,3.58679
2804.51,0.985075,0.187433,4,15,0,-2796.75,5.50179,12.4428,9.28245,1.1502,1.67751,0.187167,3.46856,4.38417,0.894952,5.83778,0.77568,-0.659903,2.34559,3.52743,1.67751,0.187167,0,0,3.04671,1.07247,1.86241,2.09384,0.77568,-0.659903,0,0,0.946019,2.41615,55.0179,124.428,64.6373,120.13,64.6373,120.13,85.2211,117.131,3.46856,4.38417,3.7474,3.72225,3.7474,3.72225,4.13815,3.74404,55.0179,124.428,85.2211,117.131,3.46856,4.38417,4.13815,3.74404
2804.69,0.981781,0.187433,4,15,0,-2796.73,6.26469,9.59496,3.14184,7.16968,0.947803,0.180055,5.75016,3.24946,0.635754,5.44768,-1.28169,1.72732,2.50294,3.09757,0.947803,0.180055,0,0,1.77252,2.67763,2.39795,1.80263,-1.28169,1.72732,0,0,0.797342,2.33403,62.6469,95.9496,66.9339,92.7895,66.9339,92.7895,74.6561,96.9032,5.75016,3.24946,4.48318,4.06735,4.48318,4.06735,3.55893,5.63587,62.6469,95.9496,74.6561,96.9032,5.75016,3.24946,3.55893,5.63587
